Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Isaiah Thomas\thomais02,27,53,53,1830,9.7,20.7,.467,3.4,8.8,.387,6.3,12.0,.526,8.4,9.2,.912,0.6,2.2,2.8,6.6,0.8,0.1,2.8,2.3,31.1
2,Marcus Smart\smartma01,22,54,22,1678,4.1,10.8,.375,1.5,4.7,.311,2.6,6.1,.425,2.5,3.2,.773,1.1,3.4,4.5,5.3,2.0,0.5,2.4,2.7,12.1
3,Jae Crowder\crowdja01,26,47,47,1527,5.2,11.1,.469,2.5,6.2,.405,2.7,4.9,.551,2.4,2.8,.866,0.7,5.1,5.8,2.4,1.2,0.4,1.1,2.5,15.3
4,Al Horford\horfoal01,30,45,45,1481,6.3,13.8,.456,1.7,4.7,.351,4.6,9.1,.511,1.7,2.1,.807,1.5,5.7,7.2,5.4,0.8,1.7,1.9,2.4,16.0
5,Avery Bradley\bradlav01,26,36,36,1257,7.3,15.4,.475,2.2,5.3,.409,5.2,10.1,.510,1.4,1.8,.762,1.1,6.0,7.1,2.5,1.3,0.2,1.9,2.8,18.2
6,Amir Johnson\johnsam01,29,56,53,1104,4.9,8.5,.573,0.6,1.4,.409,4.3,7.0,.606,1.5,2.3,.667,2.9,5.4,8.3,3.1,1.0,1.2,1.6,4.8,11.8
7,Kelly Olynyk\olynyke01,25,50,5,1077,6.0,11.6,.517,1.8,4.8,.379,4.2,6.8,.616,1.9,2.7,.707,1.5,6.6,8.1,3.3,1.1,0.7,2.1,4.4,15.8
8,Terry Rozier\roziete01,22,52,0,941,4.1,11.1,.370,1.5,4.5,.331,2.6,6.5,.398,1.5,2.0,.765,1.1,5.0,6.1,3.4,1.2,0.4,1.1,2.0,11.2
9,Jonas Jerebko\jerebjo01,29,56,5,930,3.4,7.7,.449,1.3,3.8,.347,2.1,3.9,.550,0.7,0.8,.810,1.7,5.7,7.4,1.9,0.9,0.6,1.3,3.7,8.9
10,Jaylen Brown\brownja02,20,53,13,821,4.8,11.2,.427,0.9,3.0,.304,3.9,8.2,.473,2.7,3.8,.721,1.2,4.7,6.0,1.5,1.0,0.6,1.6,4.0,13.2
11,Tyler Zeller\zellety01,27,35,5,413,5.3,11.1,.480,0.0,0.1,.000,5.3,11.0,.484,1.3,2.3,.577,3.2,5.7,8.9,2.9,0.5,1.6,1.2,3.8,11.9
12,Gerald Green\greenge01,31,36,0,410,6.4,15.9,.403,2.6,7.2,.366,3.8,8.7,.434,1.8,2.3,.808,1.3,4.4,5.7,2.5,0.6,0.4,1.4,3.4,17.3
13,James Young\youngja01,21,20,0,154,4.9,10.1,.488,2.1,4.9,.429,2.8,5.1,.545,1.2,1.6,.714,1.4,3.7,5.1,0.9,1.2,0.2,0.5,2.6,13.1
14,Jordan Mickey\mickejo01,22,16,1,116,4.3,9.0,.483,0.0,0.3,.000,4.3,8.7,.500,1.9,3.1,.600,3.7,5.0,8.7,1.6,0.6,0.9,2.2,2.8,10.6
15,Demetrius Jackson\jacksde01,22,4,0,17,6.4,8.5,.750,2.1,2.1,1.000,4.2,6.4,.667,6.4,12.7,.500,4.2,4.2,8.5,6.4,0.0,0.0,0.0,0.0,21.2